Number,Date Time UTC 4,Temperature
1193,12/3/18 20:00,27.899
1194,12/3/18 20:15,27.875
1195,12/3/18 20:30,27.875
1196,12/3/18 20:45,27.875
1197,12/3/18 21:00,27.85
1198,12/3/18 21:15,27.85
1199,12/3/18 21:30,27.85
1200,12/3/18 21:45,27.875
1201,12/3/18 22:00,27.85
1202,12/3/18 22:15,27.85
1203,12/3/18 22:30,27.875
1204,12/3/18 22:45,27.85
1205,12/3/18 23:00,27.85
1206,12/3/18 23:15,27.85
1207,12/3/18 23:30,27.825
1208,12/3/18 23:45,27.85
1209,12/4/18 00:00,27.85
1210,12/4/18 00:15,27.85
1211,12/4/18 00:30,27.85
1212,12/4/18 00:45,27.85
1213,12/4/18 01:00,27.85
1214,12/4/18 01:15,27.85
1215,12/4/18 01:30,27.85
1216,12/4/18 01:45,27.85
1217,12/4/18 02:00,27.85
1218,12/4/18 02:15,27.825
1219,12/4/18 02:30,27.825
1220,12/4/18 02:45,27.825
1221,12/4/18 03:00,27.825
1222,12/4/18 03:15,27.825
1223,12/4/18 03:30,27.825
1224,12/4/18 03:45,27.825
1225,12/4/18 04:00,27.825
1226,12/4/18 04:15,27.825
1227,12/4/18 04:30,27.801
1228,12/4/18 04:45,27.825
1229,12/4/18 05:00,27.825
1230,12/4/18 05:15,27.801
1231,12/4/18 05:30,27.801
1232,12/4/18 05:45,27.825
1233,12/4/18 06:00,27.801
1234,12/4/18 06:15,27.776
1235,12/4/18 06:30,27.776
1236,12/4/18 06:45,27.776
1237,12/4/18 07:00,27.801
1238,12/4/18 07:15,27.801
1239,12/4/18 07:30,27.801
1240,12/4/18 07:45,27.825
1241,12/4/18 08:00,27.825
1242,12/4/18 08:15,27.825
1243,12/4/18 08:30,27.85
1244,12/4/18 08:45,27.875
1245,12/4/18 09:00,27.899
1246,12/4/18 09:15,27.899
1247,12/4/18 09:30,27.924
1248,12/4/18 09:45,27.924
1249,12/4/18 10:00,27.949
1250,12/4/18 10:15,27.949
1251,12/4/18 10:30,27.974
1252,12/4/18 10:45,27.998
1253,12/4/18 11:00,27.998
1254,12/4/18 11:15,27.998
1255,12/4/18 11:30,27.998
1256,12/4/18 11:45,28.023
1257,12/4/18 12:00,27.998
1258,12/4/18 12:15,28.048
1259,12/4/18 12:30,28.048
1260,12/4/18 12:45,28.048
1261,12/4/18 13:00,28.072
1262,12/4/18 13:15,28.023
1263,12/4/18 13:30,28.072
1264,12/4/18 13:45,28.048
1265,12/4/18 14:00,28.048
1266,12/4/18 14:15,28.048
1267,12/4/18 14:30,28.072
1268,12/4/18 14:45,28.072
1269,12/4/18 15:00,28.072
1270,12/4/18 15:15,28.097
1271,12/4/18 15:30,28.072
1272,12/4/18 15:45,28.072
1273,12/4/18 16:00,28.048
1274,12/4/18 16:15,28.048
1275,12/4/18 16:30,28.023
1276,12/4/18 16:45,27.998
1277,12/4/18 17:00,27.974
1278,12/4/18 17:15,27.974
1279,12/4/18 17:30,27.974
1280,12/4/18 17:45,27.974
1281,12/4/18 18:00,27.974
1282,12/4/18 18:15,27.974
1283,12/4/18 18:30,27.949
1284,12/4/18 18:45,27.949
1285,12/4/18 19:00,27.949
1286,12/4/18 19:15,27.949
1287,12/4/18 19:30,27.949
1288,12/4/18 19:45,27.949
1289,12/4/18 20:00,27.924
1290,12/4/18 20:15,27.899
1291,12/4/18 20:30,27.875
1292,12/4/18 20:45,27.875
1293,12/4/18 21:00,27.875
1294,12/4/18 21:15,27.875
1295,12/4/18 21:30,27.875
1296,12/4/18 21:45,27.875
1297,12/4/18 22:00,27.875
1298,12/4/18 22:15,27.875
1299,12/4/18 22:30,27.875
1300,12/4/18 22:45,27.875
1301,12/4/18 23:00,27.875
1302,12/4/18 23:15,27.875
1303,12/4/18 23:30,27.875
1304,12/4/18 23:45,27.85
1305,12/5/18 00:00,27.85
1306,12/5/18 00:15,27.85
1307,12/5/18 00:30,27.85
1308,12/5/18 00:45,27.85
1309,12/5/18 01:00,27.85
1310,12/5/18 01:15,27.825
1311,12/5/18 01:30,27.85
1312,12/5/18 01:45,27.85
1313,12/5/18 02:00,27.825
1314,12/5/18 02:15,27.825
1315,12/5/18 02:30,27.85
1316,12/5/18 02:45,27.85
1317,12/5/18 03:00,27.949
1318,12/5/18 03:15,27.924
1319,12/5/18 03:30,27.899
1320,12/5/18 03:45,27.875
1321,12/5/18 04:00,27.85
1322,12/5/18 04:15,27.801
1323,12/5/18 04:30,27.801
1324,12/5/18 04:45,27.801
1325,12/5/18 05:00,27.801
1326,12/5/18 05:15,27.801
1327,12/5/18 05:30,27.801
1328,12/5/18 05:45,27.801
1329,12/5/18 06:00,27.776
1330,12/5/18 06:15,27.776
1331,12/5/18 06:30,27.776
1332,12/5/18 06:45,27.776
1333,12/5/18 07:00,27.776
1334,12/5/18 07:15,27.751
1335,12/5/18 07:30,27.751
1336,12/5/18 07:45,27.776
1337,12/5/18 08:00,27.801
1338,12/5/18 08:15,27.801
1339,12/5/18 08:30,27.801
1340,12/5/18 08:45,27.825
1341,12/5/18 09:00,27.899
1342,12/5/18 09:15,27.924
1343,12/5/18 09:30,27.899
1344,12/5/18 09:45,27.974
1345,12/5/18 10:00,27.974
1346,12/5/18 10:15,27.949
1347,12/5/18 10:30,27.974
1348,12/5/18 10:45,27.924
1349,12/5/18 11:00,27.949
1350,12/5/18 11:15,27.924
1351,12/5/18 11:30,27.949
1352,12/5/18 11:45,27.924
1353,12/5/18 12:00,27.949
1354,12/5/18 12:15,27.924
1355,12/5/18 12:30,27.949
1356,12/5/18 12:45,27.974
1357,12/5/18 13:00,27.949
1358,12/5/18 13:15,27.998
1359,12/5/18 13:30,27.974
1360,12/5/18 13:45,28.048
1361,12/5/18 14:00,28.048
1362,12/5/18 14:15,28.023
1363,12/5/18 14:30,27.974
1364,12/5/18 14:45,27.974
1365,12/5/18 15:00,27.949
1366,12/5/18 15:15,27.949
1367,12/5/18 15:30,27.949
1368,12/5/18 15:45,27.949
1369,12/5/18 16:00,27.949
1370,12/5/18 16:15,27.949
1371,12/5/18 16:30,27.949
1372,12/5/18 16:45,27.949
1373,12/5/18 17:00,27.949
1374,12/5/18 17:15,27.949
1375,12/5/18 17:30,27.949
1376,12/5/18 17:45,27.949
1377,12/5/18 18:00,27.949
1378,12/5/18 18:15,27.974
1379,12/5/18 18:30,27.974
1380,12/5/18 18:45,27.974
1381,12/5/18 19:00,27.949
1382,12/5/18 19:15,27.949
1383,12/5/18 19:30,27.924
1384,12/5/18 19:45,27.924
1385,12/5/18 20:00,28.048
1386,12/5/18 20:15,28.072
1387,12/5/18 20:30,28.072
1388,12/5/18 20:45,28.072
1389,12/5/18 21:00,28.072
1390,12/5/18 21:15,28.072
1391,12/5/18 21:30,28.048
1392,12/5/18 21:45,28.023
1393,12/5/18 22:00,27.924
1394,12/5/18 22:15,27.924
1395,12/5/18 22:30,27.924
1396,12/5/18 22:45,27.924
1397,12/5/18 23:00,27.924
1398,12/5/18 23:15,27.949
1399,12/5/18 23:30,27.924
1400,12/5/18 23:45,27.949
1401,12/6/18 00:00,27.949
1402,12/6/18 00:15,27.949
1403,12/6/18 00:30,27.974
1404,12/6/18 00:45,27.974
1405,12/6/18 01:00,27.974
1406,12/6/18 01:15,27.998
1407,12/6/18 01:30,27.974
1408,12/6/18 01:45,27.949
1409,12/6/18 02:00,27.949
1410,12/6/18 02:15,27.924
1411,12/6/18 02:30,27.924
1412,12/6/18 02:45,27.924
1413,12/6/18 03:00,27.899
1414,12/6/18 03:15,27.899
1415,12/6/18 03:30,28.097
1416,12/6/18 03:45,28.147
1417,12/6/18 04:00,28.122
1418,12/6/18 04:15,28.147
1419,12/6/18 04:30,28.147
1420,12/6/18 04:45,28.122
1421,12/6/18 05:00,28.072
1422,12/6/18 05:15,28.048
1423,12/6/18 05:30,27.974
1424,12/6/18 05:45,27.924
1425,12/6/18 06:00,27.924
1426,12/6/18 06:15,27.899
1427,12/6/18 06:30,27.875
1428,12/6/18 06:45,27.85
1429,12/6/18 07:00,27.875
1430,12/6/18 07:15,27.85
1431,12/6/18 07:30,27.85
1432,12/6/18 07:45,27.85
1433,12/6/18 08:00,27.825
1434,12/6/18 08:15,27.85
1435,12/6/18 08:30,27.85
1436,12/6/18 08:45,27.875
1437,12/6/18 09:00,27.899
1438,12/6/18 09:15,28.023
1439,12/6/18 09:30,28.023
1440,12/6/18 09:45,28.023
1441,12/6/18 10:00,28.023
